"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"292-0480-010-0000","4743","Dovercourt","95608","4","3 (3 0)","2457","0.2500","1972","","No","","24","46","759000.00","759000.00","735000.00","06/18/19","08/23/19","No","0"
"282-0076-002-0000","4828","Boyd","95608","4","2 (2 0)","1671","0.2380","1955","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR,Other-Rmks 6-10YR","73","73","375000.00","365000.00","365000.00","06/26/19","10/25/19","Yes","3"
"236-0163-003-0000","4969","Oleander","95608","3","2 (2 0)","1006","0.2355","1960","","Unknown","","4","4","317000.00","317000.00","325000.00","06/27/19","07/15/19","Yes","7"
"256-0122-028-0000","3512","Condor","95608","4","3 (2 1)","2550","0.2400","1978","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 6-10YR","14","14","592000.00","592000.00","585000.00","06/28/19","08/12/19","Yes","2"
"236-0302-014-0000","6417","Sandstone","95608","3","2 (2 0)","1389","0.2381","1968","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","8","8","410000.00","410000.00","400000.00","06/27/19","08/09/19","No","0"
"232-0371-007-0000","5523","Millburn","95608","3","2 (2 0)","1442","0.1400","1962","","No","","41","41","330000.00","315000.00","315000.00","06/27/19","10/04/19","No","0"
"245-0111-012-0000","6407","Rolling","95608","4","2 (2 0)","1786","0.2015","1971","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","7","7","419000.00","419000.00","421000.00","06/29/19","08/07/19","No","0"
"232-0420-005","5908","Via Casitas","95608","2","2 (1 1)","972","0.0153","1971","","No","","10","10","174000.00","174000.00","168000.00","06/30/19","07/31/19","Yes","5"
"230-0411-003-0000","5308","Mustang","95608","4","3 (2 1)","1995","0.4364","1964","Updated/Remodeled","Yes","Other-Rmks 0-5YR","15","15","560000.00","497000.00","455000.00","07/01/19","09/04/19","Yes","3"
"232-0081-008-0000","6049","Ellerslee","95608","3","2 (2 0)","1544","0.2200","1958","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","13","13","380000.00","380000.00","395000.00","06/22/19","07/24/19","Yes","8"
"260-0212-012","3602","Orangerie","95608","4-5","3 (3 0)","2509","0.2600","1959","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","32","34","599000.00","585000.00","572500.00","07/01/19","08/30/19","No","0"
"232-0253-006-0000","5333","Hesper","95608","3","2 (2 0)","1314","0.1500","1962","","No","","0","0","324000.00","324000.00","311000.00","07/05/19","07/30/19","No","0"
"282-0301-008-0000","2053","Castelleja","95608","3","2 (2 0)","1693","0.2658","1961","Updated/Remodeled","Yes","Bath 6-10YR,Bed 0-5YR,Kitchen 6-10YR,Kitchen 0-5YR","8","8","484900.00","484900.00","485000.00","07/03/19","08/01/19","Yes","2"
"258-0272-004-0000","5246","Grant","95608","4","2 (2 0)","1376","0.2300","1961","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR","8","8","365000.00","365000.00","365000.00","07/03/19","08/07/19","No","0"
"282-0102-009-0000","4901","Saint Lynn","95608","3","2 (2 0)","1405","0.2314","1955","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","25","25","429000.00","385000.00","391000.00","07/05/19","08/16/19","Yes","2"
"256-0390-004-0000","4734","Gibbons","95608","4-5","3 (3 0)","3357","0.1641","2005","","Unknown","","57","57","650000.00","650000.00","610000.00","07/05/19","09/11/19","No","0"
"271-0033-071-0000","5006","Kurz","95608","3","2 (2 0)","1944","0.1770","1989","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","31","31","549900.00","534900.00","538000.00","07/05/19","08/30/19","Yes","4"
"256-0224-002-0000","5039","Bowman Oaks","95608","3","2 (2 0)","1296","0.2400","1960","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","49","49","399999.00","385000.00","390000.00","07/11/19","11/13/19","No","0"
